,City,Cloudiness,Country,Dates,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bambous virieux,75,mu,1570749537,78,-30.069149999134517,82.19375101012463,295.93,6.7
1,hermanus,93,za,1570749537,84,-42.870719015435284,16.65527787850931,285.93,1.34
2,georgetown,97,sh,1570749538,76,-10.310935191812334,-11.359875603929822,295.66,8.421
3,adre,51,td,1570749538,54,14.17278183988779,22.352537174593266,299.81,0.65
4,busselton,86,au,1570749538,76,-44.14654704863067,95.99866454201168,290.93,3.681
5,bluff,100,nz,1570749538,90,-68.43613334203982,155.31980243755174,280.37,4.47
6,tuktoyaktuk,20,ca,1570749539,86,88.6875289155675,-120.57780393719054,275.15,1.0
7,tigil,99,ru,1570749539,84,57.363878483653565,156.83321685079557,280.3,3.975
8,aksarka,26,ru,1570749539,84,69.92883077466917,67.57984742826216,273.02,5.432
9,castro,90,cl,1570749539,93,-50.83369681707748,-97.73205237378984,284.15,5.1
10,new norfolk,20,au,1570749540,50,-46.6718470129944,144.14307752091213,285.37,4.6
11,tuatapere,100,nz,1570749540,90,-47.03116047569964,166.18266081910082,280.37,4.47
12,hobart,20,au,1570749540,50,-62.77132265309578,154.32928937717077,285.37,4.6
13,daru,72,pg,1570749541,65,-12.440311762527202,142.1472304410808,301.86,1.659
14,arraial do cabo,75,br,1570749541,88,-38.674277657316765,-20.177275945063343,296.15,5.1
15,khatanga,51,ru,1570749541,82,78.56145395571949,105.18242878466498,263.05,4.14
16,kavaratti,86,in,1570749542,71,12.361820970184354,63.21816593358804,301.72,2.301
17,aneho,40,tg,1570749542,83,5.7778075324825835,1.967397594508924,300.15,4.6
18,sistranda,20,no,1570749542,93,66.86363978153682,6.921123899440715,279.26,3.6
19,ushuaia,90,ar,1570749543,92,-85.44656885291985,-56.68017643914196,271.15,13.9
20,cape town,49,za,1570749543,82,-81.0922255842693,-11.949795873986204,288.71,4.6
21,sao jose do belmonte,70,br,1570749543,66,-7.774055072760149,-38.9550152006521,296.45,10.359
22,thompson,75,ca,1570749544,41,54.31861580523733,-96.26696702725215,277.15,2.1
23,novosheshminsk,74,ru,1570749544,90,55.123684116919094,51.100171838567405,279.91,7.664
24,vaini,75,to,1570749544,78,-23.55167399640402,-176.02722914955328,300.15,4.1
25,seoul,15,kr,1570749544,93,37.86413288769468,126.6921245796247,288.15,1.0
26,butaritari,50,ki,1570749545,59,13.093400798476495,169.38739350399538,302.36,3.235
27,kalemie,47,cd,1570749545,67,-6.161551668729473,29.641421003585407,293.37,0.631
28,san patricio,75,mx,1570749545,74,9.24089336935424,-110.36369096061148,303.15,5.1
29,nkhata bay,57,mw,1570749546,73,-11.644123770405187,34.64200583001963,299.67,3.738
